25,25
1325,885
10
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,▼,T,▼,T,▼,T,▼,T,▼,T,▼,T,▼,T,▼,T,B,T,T,T,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,T,G,T,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,T,T,T,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,▲,W,W,W,W,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,A,W,W,W,W,W,W,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,A,W,W,W,W,W,W,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,W,W
W,W,T,▲,T,▲,T,▲,T,▲,T,▲,T,▲,T,T,T,T,T,T,T,T,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,T,T,W,W,W,W,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,▼,T,T,T,T,T,T,A,A,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,A,A,W,W,W
W,W,T,T,T,T,T,T,T,▲,T,T,T,T,T,T,T,T,T,T,A,A,W,W,W
W,W,T,T,T,T,T,◄,A,A,A,A,A,A,A,A,A,A,A,W,W,W,W,W,W
W,W,►,T,T,T,T,T,A,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,T,T,T,T,T,◄,A,A,A,A,A,A,A,A,A,A,A,W,W,W,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,W,W,A,A,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,W,W
W,W,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,W,A,T,T,T,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
